composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_,910.3102440442153,0.5084698475,2.150693856190066,5,1.4259515290473033,1.2143,1088.3276829719543
_7_9_12_,1766.2312787686474,1.5077618200000003,2.4834213977153348,2,1.66433003907843,1.1423000000000003,908.114931344986
_0_3_6_,1216.0729689248315,1.125277555,2.268805977708153,3,1.4527508905735387,1.2253,1219.895924091339
_0_7_14_,878.4495019249218,2.7498405100000003,2.1368853711496207,2,1.6243641148095973,1.5842,1163.9680426120758
_12_30_44_,1106.7140433026584,0.8597078849999998,2.2122725994414525,3,1.0657322729775698,1.0,1506.192777633667
_2_10_22_,465.0174881480291,2.2913419100000008,1.8339212418444768,2,1.9407333598829017,1.8837,996.5171122550964
_5_6_7_,1386.9608327858896,1.0552255350000002,2.335343401933,3,1.4621671898698219,1.3001,1199.7160222530365
_10_15_36_,801.8303326290627,0.9657930900000002,2.059152215749652,3,1.5480708706713848,1.6212,1370.0878069400787
_10_36_40_,523.1582502587569,0.5161730274999999,1.8775479950792462,5,1.6241633296342706,1.7337,1364.1863012313843
_14_20_32_,1358.7110597780927,0.9564140150000005,2.333732435065243,3,1.2361843222222444,0.7260999999999997,928.7639462947845
