composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_3_4_,6296.117936493049,1.4667846399999993,3.3241249674035487,3,2.6068475343882564,2.1414999999999997,1730.5627400875092
_0_2_13_24_25_,10676.365382301177,0.8005758566666664,3.72345836662228,4,2.3381498368736033,1.7968000000000002,1645.7236709594727
_10_13_16_30_38_,4485.340200754978,0.96579309,3.121585323774192,3,2.8745345123425885,2.8553,2613.384341239929
_0_7_18_29_43_,10657.783751502668,0.8584791400000004,3.652457743227605,4,1.8708282713613293,1.7300000000000004,2205.624059677124
_1_3_4_6_11_,10617.478246289927,0.8204697366666661,3.663860064010909,4,2.257735633728891,1.4139000000000004,2429.293028354645
_2_10_11_25_31_,11521.588159343448,0.0,3.792078229582044,1,2.828811148503013,1.7208,1636.7727675437927
_0_5_7_13_28_,8900.271020340093,0.8584791400000004,3.567740498214953,4,2.3155471397508096,2.2037999999999993,1691.4370267391205
_1_5_13_22_39_,4558.771345985806,1.3416494499999998,3.101070153812819,3,2.5110240718995724,2.9242999999999997,2058.3679642677307
_3_6_9_17_27_,12457.96678814221,0.5653571700000001,3.799069767443827,4,2.1135985601669907,1.2094000000000005,2226.994788169861
_14_20_32_39_46_,9417.852330915068,0.6424055700000002,3.578754090437637,4,1.8319347619673483,1.646,4636.5056874752045
