composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_3_4_5_6_7_,75609.30173311461,0.7457610900000003,5.525440494581049,4,4.188216416606232,2.921499999999999,3194.8252091407776
_2_4_10_14_20_26_27_32_,62848.5291698465,2.360465470000001,5.349633559826028,2,4.661652038008286,3.4016,6681.929518461227
_0_3_8_14_22_28_35_41_,64274.603955619066,1.2985267649999996,5.3306379524177085,3,3.785738097066744,2.912699999999999,4203.390491962433
_1_6_12_19_24_29_37_44_,111838.35557025486,1.184617,5.878535072345228,3,3.032281318445231,2.7153,4285.273949146271
_2_4_9_13_21_27_32_40_,75789.65213542386,2.034059540000002,5.532835735127174,2,3.4713700171101656,2.7168,2919.1056661605835
_5_7_11_17_23_30_34_42_,107722.7802515067,0.6000014533333333,5.876515492481345,4,3.327791645651049,3.061,2949.372007369995
_10_15_20_25_31_33_38_43_,91015.25860823183,0.9752833450000005,5.699639066018176,3,3.20211946982524,3.7428999999999997,3386.093374967575
_16_18_26_36_39_45_46_41_,74473.02170813068,0.42658300800000026,5.537515922648456,6,3.5981643808349766,4.260999999999999,4044.0686502456665
_0_4_9_14_20_26_32_38_,64929.70865620256,0.6019326399999998,5.281411529733233,5,4.0201229675664045,3.2963000000000005,10118.238197803497
_1_7_11_17_22_28_35_44_,57137.463268880594,0.0,5.2672369217064885,1,3.9194940593128096,4.083,3576.3770892620087
_0_4_9_14_20_26_32_38_,62870.32947892673,0.7624225466666665,5.331511374327054,4,4.040160371534058,3.4838000000000005,3005.951937675476
_1_7_11_17_22_28_35_44_,68570.19679964993,1.1846170000000003,5.494001147281086,3,3.917810028549919,4.083,3491.10853266716
_0_4_9_14_20_26_32_38_,64929.70865620256,0.6019326399999998,5.347294281921178,5,4.0201229675664045,3.2963000000000005,3573.925635576248
_1_7_11_17_22_28_35_44_,70866.0875142665,0.68407977,5.5189446750971625,4,3.9120284215341568,4.083,3972.55651307106
