composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_,1263.0226834251193,0.17163263258036446,2.3012051136906466,19,0.6127918957451616,0.37821190475225475,806.6805462837219
_7_9_12_,1371.3737532824293,1.4040489876642823,2.347784080081841,2,1.2526137209352879,0.5859000074386596,746.3688495159149
_0_3_6_,1100.0855840384754,0.9280347642488778,2.2247929997384777,4,1.0613689097082712,0.7175999229431151,617.6148087978363
_0_7_14_,703.6837058704493,1.3987898035993567,2.0648923841979996,2,1.3808101178327215,1.4884000162124638,664.6468288898468
_12_30_44_,709.9664729680162,0.0,2.028458132012035,1,1.0955245124050363,1.0,817.5328185558319
_2_10_22_,432.80638516135025,0.0,1.8292924076845094,1,1.9276094221718807,1.587499969959259,683.2343142032623
_5_6_7_,1050.9756337045078,0.6145134441764336,2.2085137199340807,4,1.0521342693109779,0.7928999412536619,687.3821704387665
_10_15_36_,855.8932225099196,0.7428613092682402,2.1220713990367917,4,1.0218690034144737,1.020500038909912,716.9762058258057
_10_36_40_,678.6955460398017,0.5593547651245899,2.023994449123326,6,1.03404753271306,1.0,750.4093127250671
_14_20_32_,1211.9189788408526,0.4392222713664523,2.286552078321159,6,0.7780753512477921,0.397577259194851,669.4936521053314
