composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_3_4_5_6_7_,53072.01795567407,0.0,5.256544014927931,1,3.784971059713295,2.5921000801086427,303.5745646953583
_2_4_10_14_20_26_27_32_,54445.160311027714,0.0,5.311511770973482,1,3.501092163156363,3.0930997390747077,301.0731074810028
_0_3_8_14_22_28_35_41_,0.0,0.8116280900048878,2.438675360756552,3,8.690109056066115,9.0,330.1667990684509
_1_6_12_19_24_29_37_44_,0.0,2.4265274754616257,2.850077041902704,5,7.714329010128345,8.0,353.00176882743835
_2_4_9_13_21_27_32_40_,0.0,0.7444445434957743,2.763311371267755,2,7.938622896748316,9.0,348.15104937553406
_5_7_11_17_23_30_34_42_,0.0,0.19025917700491846,1.5297760193861705,2,9.812692995350671,8.0,412.2425014972687
_10_15_20_25_31_33_38_43_,50790.81197380516,0.0,5.1842899613597915,1,2.1711212439421232,3.0622000694274902,371.77847027778625
_16_18_26_36_39_45_46_41_,0.0,0.44139469033658923,0.1363699824639735,4,13.525568467738063,9.0,543.5140633583069
_0_4_9_14_20_26_32_38_,0.0,1.1237369134905748,1.5679744993614824,2,10.438992853384118,9.0,371.68815660476685
_1_7_11_17_22_28_35_44_,0.0,2.2042120604310185,2.615387338266625,4,8.11038112019959,9.0,347.75866317749023
