composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_3_4_,3243.448427251305,0.7252858579158783,2.8694732879352576,2,2.351370711817181,1.9387999191284173,788.0792462825775
_0_2_13_24_25_,12503.24683273071,0.25747819253315357,3.797227654623669,16,1.1962084084433613,0.7839998359680171,715.3434867858887
_10_13_16_30_38_,2504.023416197466,0.0,2.758922255686152,1,2.055971790928726,2.274200072860718,836.979070186615
_0_7_18_29_43_,6309.523837037877,0.0,3.3559425428273966,1,1.805835077085282,1.6950000011444093,526.0835492610931
_1_3_4_6_11_,6421.251908474476,0.0,3.3679591386649683,1,2.7542610780940175,1.7465000534057618,271.4865427017212
_2_10_11_25_31_,13972.957649428463,0.26620785755869747,3.875750515132769,9,1.4175621074749347,0.8284001113891604,275.38112354278564
_0_5_7_13_28_,8355.603777965174,0.3832207067430967,3.5267122871259233,8,1.4931302060793856,1.2243999736785889,264.04475355148315
_1_5_13_22_39_,4437.886405777685,0.961753071016877,3.0852836072954215,4,1.8752684872628382,2.265399960708619,308.2956871986389
_3_6_9_17_27_,0.0,1.6029902200680226,1.2901914617714123,2,5.727347855446362,6.0,366.09765458106995
_14_20_32_39_46_,8082.805684021999,0.5166508240945404,3.5085215556452427,5,1.0664873898932719,1.0,339.1752345561981
