composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_3_4_5_6_7_,163102.71239491104,0.10138121468085108,6.299198107230703,48,1.2015173882298056,2.0,531.0769600868225
_2_4_10_14_20_26_27_32_,171814.99416921218,0.0611211896825397,6.352692572285755,64,1.205520033407996,1.0,622.67577958107
_0_3_8_14_22_28_35_41_,179894.80811205407,0.054615903281249975,6.443797203541001,65,0.8775410000682534,2.0,639.2121987342834
_1_6_12_19_24_29_37_44_,155127.01673287788,0.05072081689189189,6.296304759031286,75,1.1314526747731457,1.0,569.8359408378601
_2_4_9_13_21_27_32_40_,155958.5580156427,0.11281495902439029,6.258642629804074,42,1.2103667894528845,2.0,485.20625710487366
_5_7_11_17_23_30_34_42_,140027.69835580594,0.07007158129032255,6.129058550542802,63,1.0288953940803376,1.0,533.5447919368744
_10_15_20_25_31_33_38_43_,158070.74994564027,0.06911347843137258,6.270137441237301,52,1.0475546719738849,2.0,638.6227567195892
_16_18_26_36_39_45_46_41_,135082.12893504137,0.12137245789473686,6.137453125521835,39,1.0067954482687984,1.0,616.897693157196
_0_4_9_14_20_26_32_38_,168598.04253942956,0.07409561139999998,6.376160504317356,51,0.9149074091179685,2.0,608.1403021812439
_1_7_11_17_22_28_35_44_,152078.35412805487,0.05603461904761904,6.256562359992545,64,1.1218685274900722,2.0,631.8568391799927
