composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_,1350.687165649249,0.19534455450000004,2.3409677457674745,21,0.5427652219012332,0.42605836034417166,251.19834518432617
_7_9_12_,1646.105814297396,0.268969933076923,2.422553105356227,14,0.37620377552740525,0.30310013890266463,211.5187909603119
_0_3_6_,1437.52028185395,0.10186345599999998,2.345429920116838,21,0.5438072493928984,1.0,267.77493834495544
_0_7_14_,1374.23176129235,0.20915669733333336,2.3425846147893488,16,0.6305709125143998,0.535101414859295,249.7687759399414
_12_30_44_,1266.0411203191343,0.1564435921428571,2.293167566042264,15,0.3275742745687006,1.0,272.93839859962463
_2_10_22_,1650.7740836685216,0.14196624045454545,2.4220384482038724,23,0.41036216343113563,0.27857722114324535,317.71388483047485
_5_6_7_,1534.5841617859064,0.2664743823076923,2.3857568218992147,14,0.57557344445285,0.20715226922035201,250.64899802207947
_10_15_36_,1511.0269731894762,0.17317713052631578,2.4143088948395923,20,0.4436029531437743,0.2546125760257243,331.43702721595764
_10_36_40_,1528.2697253824597,0.197474098,2.400500306144254,16,0.45585293359833745,0.26784065787792155,360.7941584587097
_14_20_32_,1568.1061258729342,0.1273444695238095,2.4169855995741667,22,0.3217169576902137,0.23779381438493763,284.8229548931122
