composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_3_4_,18878.076190787862,0.09565372365079362,4.227886815530475,64,1.1820425334423779,0.5690114601135257,1073.1808528900146
_0_2_13_24_25_,19725.824739669606,0.08214746314285715,4.1877525196924665,71,1.1462922620416227,0.4068420602142817,565.1658442020416
_10_13_16_30_38_,15843.72855689805,0.08810938913793101,4.082614200488652,59,1.1731409820420722,0.7727971601486203,754.6314520835876
_0_7_18_29_43_,15792.906742238898,0.07647914070175435,4.05799312457055,58,1.118539234852789,2.0,784.8314952850342
_1_3_4_6_11_,20890.5189510171,0.07034014384615386,4.228645914143175,66,1.098424025705332,1.0440690776705743,699.2445147037506
_2_10_11_25_31_,20806.70392078403,0.09869352672727268,4.181854572343457,56,0.9381375190191904,1.0,530.6521656513214
_0_5_7_13_28_,17210.45588201077,0.11247560982456144,4.119311110990961,58,1.2040821093075116,0.8774661381959921,674.3347158432007
_1_5_13_22_39_,15203.394955628588,0.049179850123456756,4.052475018915087,82,1.3248526660673952,2.0,909.8262741565704
_3_6_9_17_27_,22280.036251417954,0.11465683672413796,4.289880064791085,59,1.059003645158108,0.5311361893653874,633.5992810726166
_14_20_32_39_46_,14024.272981281298,0.06287479450704228,4.023208361754201,72,1.1614959257342354,1.3119678705304865,778.2007851600647
