composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_,1709.3216280077465,0.05446158016949153,2.5186343298194696,60,0.8613115656403534,0.45495757592022423,597.0206959247589
_7_9_12_,1807.0980528731052,0.23252124705882354,2.5001195654408654,18,0.8205636375027845,1.0,522.402782201767
_0_3_6_,2102.974598278032,0.058021514117647076,2.594279900627802,52,0.6801077908242062,0.3314906871557235,493.3065402507782
_0_7_14_,1752.9507760801068,0.06644891541666664,2.5617849188523634,49,0.8330360206872743,0.40906179171800616,576.3151533603668
_12_30_44_,1814.1117034155627,0.06058072756097556,2.530086361752305,42,0.7909346100989069,1.0398530287325385,623.4396212100983
_2_10_22_,1723.8505769442136,0.03460147576923076,2.4564734726076423,53,0.6980229045332553,1.0,942.8533370494843
_5_6_7_,2115.0787525839064,0.0623445124,2.594165129858476,51,0.6789181588990856,0.40905531098842607,1339.6747498512268
_10_15_36_,2132.571245685087,0.07339867425531911,2.5961201568340364,48,0.6832516464475021,0.6559558572560547,1485.1643249988556
_10_36_40_,1903.9154209510523,0.048332696851851834,2.5409677809054054,55,0.6999629825591073,1.0,1693.2493104934692
_14_20_32_,2032.622848284106,0.05712916785714287,2.5714220691021445,57,0.5631990461333369,0.3313332366406918,1150.4821345806122
