composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_3_4_5_6_7_,168808.49144354614,0.1029444375409836,6.324254018649924,62,1.8416901150619966,1.0129216612294316,871.4405813217163
_2_4_10_14_20_26_27_32_,160104.04663446636,0.10916482226666664,6.319335939749115,76,1.5562869520861673,0.8377866498827933,1340.7157845497131
_0_3_8_14_22_28_35_41_,162280.76204566855,0.13056156169230776,6.338445922755334,66,1.8287060963706214,1.1939201253712177,754.9916384220123
_1_6_12_19_24_29_37_44_,150914.65323047305,0.10411771985915495,6.266693885234194,72,1.6628040830791693,0.9925518590599296,664.8407406806946
_2_4_9_13_21_27_32_40_,173008.00825248373,0.10213898610169489,6.391456377000728,60,1.7696074736202148,0.7502682231187832,2054.0502746105194
_5_7_11_17_23_30_34_42_,151740.91285743483,0.18128504553191485,6.28602548247552,48,1.7238516090660891,1.3041999999999998,1784.966307401657
_10_15_20_25_31_33_38_43_,162111.57896188163,0.17377669438596496,6.298513739905702,58,1.50625080610386,0.9847664816588164,1033.7946202754974
_16_18_26_36_39_45_46_41_,139582.79126935857,0.15985556714285712,6.184102219174078,57,1.6045338118285926,1.4665785563766942,1007.7851281166077
_0_4_9_14_20_26_32_38_,150271.78615054992,0.16598487781818178,6.244949213083089,56,1.6511620642252813,0.9646452203571796,973.67631316185
_1_7_11_17_22_28_35_44_,161931.13668386813,0.15219492086956526,6.331158527626821,70,1.5347651752843534,0.9818559680342673,938.9696853160858
