composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_10_13_16_30_38_,4042.2157642897137,1.8865689800000007,3.1208812361299896,2,2.8988081888638524,3.584600000000001,3658.8137497901917
_0_7_18_29_43_,8014.323445983364,0.6836506133333331,3.4743336487163794,4,2.321623691776471,2.1324,4535.784794330597
_1_3_4_6_11_,8502.96522157336,0.4423336599999998,3.495600299750508,3,2.4631948825667394,1.7685000000000004,3238.346934080124
_2_10_11_25_31_,12198.107314133336,1.0609507150000002,3.8025298067155417,3,2.4191998677258053,1.6128,1748.5847616195679
_0_5_7_13_28_,7186.6443680627535,1.4091017700000001,3.446143396203073,3,2.890588854675165,2.3956,2856.4541249275208
_1_5_13_22_39_,4422.604126494731,0.7143457666666664,3.081812792197251,4,2.7250342406185037,2.9847,4118.251771211624
_3_6_9_17_27_,11189.776225474823,0.4358348600000001,3.726904877052005,5,2.403883008759389,1.6984,2251.765129327774
_14_20_32_39_46_,7482.569372500163,0.8839669500000003,3.4457490295648956,3,2.119615373665009,2.2918000000000003,2487.184781074524
_0_1_2_3_4_,5665.612205543474,1.40910177,3.2459695288211883,3,2.815015692179381,2.0585,2242.0451130867004
_0_2_13_24_25_,9755.616425121161,2.7496701299999984,3.632390236143726,2,2.8624479950267565,2.0399000000000007,2151.032189130783
