composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_3_6_,1177.6152392891383,1.4091017700000001,2.259160743330577,3,1.5104895189818541,1.0931,6786.479118347168
_0_7_14_,939.8579454261228,0.7764854800000002,2.1776307147110567,4,1.4333931241456739,1.5521000000000003,1537.0131976604462
_12_30_44_,870.236267846006,0.8314330799999998,2.115193136806538,3,1.4057513866805942,1.3186000000000002,1321.445347070694
_2_10_22_,432.8063946306534,0.0,1.816203638984545,1,2.092219144243748,1.9386,998.4036948680878
_5_6_7_,1314.4447815171711,0.46300983250000005,2.2950201290545444,5,1.2201625231121478,0.8562000000000003,1657.2830862998962
_10_15_36_,815.2357447200268,0.66652323,2.0847450658636846,4,1.5419521168096582,1.6482,2295.1926126480103
_10_36_40_,520.7253137548886,1.8865689799999996,1.8848715013995083,2,1.785768536653774,1.8221,2749.0220839977264
_14_20_32_,1133.6264212660928,2.0418969800000006,2.2476494351485097,2,1.3830756427132374,0.9072,3373.2120428085327
_0_1_2_,822.1888973791216,0.8628742066666666,2.1124860441918702,4,1.4451971473085514,1.3417848228126767,1729.5177686214447
_7_9_12_,1538.714581853116,1.3068084050000004,2.398387801957807,3,1.2777341961235473,1.0709999999999997,1038.29550242424
