composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_3_8_14_22_28_35_41_,52229.17992246101,0.5473115099999998,5.193487156121631,5,4.357854465260296,4.248199999999999,3820.9872119426727
_1_6_12_19_24_29_37_44_,87583.20478269408,0.47987319500000025,5.691166815923494,5,4.0160348584285686,3.6407,4574.263771772385
_2_4_9_13_21_27_32_40_,64058.71649658385,0.0,5.404958825643707,1,4.7898462843555825,3.7723999999999993,3316.323843240738
_5_7_11_17_23_30_34_42_,76353.56793862056,1.0027804700000003,5.608915628758674,3,4.2421365200476755,3.9389999999999996,4046.4327490329742
_10_15_20_25_31_33_38_43_,72452.09664868566,1.8865689800000025,5.516568484998584,2,3.824548202758767,3.4804000000000004,5257.824001789093
_16_18_26_36_39_45_46_41_,62849.17010653774,0.3866509759999999,5.4100822865516,6,4.537576757846643,4.1865,5252.35383939743
_0_4_9_14_20_26_32_38_,58188.372787968416,0.39592466400000015,5.263172584239105,6,4.3745587585794805,3.3768000000000002,9695.843526601791
_1_7_11_17_22_28_35_44_,56018.142000115906,0.4798731950000005,5.32316589223194,5,4.694110965565161,4.3597,7258.269108295441
_0_1_2_3_4_5_6_7_,66123.92743730529,1.409101770000001,5.386545360927598,3,4.673681670467435,2.9570000000000007,4108.859110116959
_2_4_10_14_20_26_27_32_,54445.15383187673,0.0,5.259399118380337,1,5.7664544356799,3.4825999999999997,6836.392968893051
