composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_3_4_,5283.549668919781,1.16525347,3.2053630759922345,3,2.0842648525772973,1.9969999999999994,2974.3560400009155
_0_2_13_24_25_,9493.083569207478,1.1652534700000001,3.6330690872608993,3,1.8167417693022503,1.6572999999999998,1985.3726015090942
_10_13_16_30_38_,4654.540982196395,1.21233955,3.2450538852539417,3,2.030682499883778,2.2170000000000005,1908.6578299999237
_0_7_18_29_43_,7438.434236473022,1.1652534700000006,3.4723234284059408,3,1.4361505954621754,1.3793000000000006,1691.360315322876
_1_3_4_6_11_,9435.760133192041,0.7548199733333337,3.606768370975873,4,1.9326008886246278,1.3812999999999995,1879.248061656952
_2_10_11_25_31_,11580.39545194247,0.9130279249999997,3.8051749683470257,3,1.8450208108759023,1.3177999999999996,1430.1847085952759
_0_5_7_13_28_,6591.302885268224,2.5906204300000013,3.468837717714602,2,1.9275307921948988,1.7443,3524.99458861351
_1_5_13_22_39_,4471.724699096692,1.21330945,3.132699048685174,3,1.9818905142818473,2.549000000000001,3683.9949703216553
_3_6_9_17_27_,11068.150107517753,0.5584547266666667,3.74788796084351,4,1.6521060796007088,1.1972999999999998,3220.906884431839
_14_20_32_39_46_,7482.569372500163,0.8839669500000003,3.475575133716289,3,1.0923964347412998,1.0,3501.649146080017
