composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_,1159.2579199855595,0.7732928477274982,2.2488742529798813,6,1.4477599617083565,0.9263928134799002,326.4924683570862
_7_9_12_,2056.998140058413,0.5015761879928959,2.5589705676688097,7,1.1267447774562773,0.8663000110626222,285.3851652145386
_0_3_6_,956.3322795421622,0.0,2.171072725749694,1,1.855175196369813,1.2739998893737794,291.8382797241211
_0_7_14_,1125.3511384446194,0.8309406081027191,2.2664283226948587,6,1.353598975611564,1.3287000988006592,314.63556814193726
_12_30_44_,1008.2307266256607,2.4335444308817387,2.16532678058674,2,1.1304006668025084,1.0,340.3464996814728
_2_10_22_,922.0948756901684,0.5154624732203956,2.1260279058486993,5,1.2278360420774315,0.9795000869750976,278.7931926250458
_5_6_7_,1329.3106560011672,0.6219845902538509,2.3392872859258107,6,1.1368647654037078,1.0757000415802,295.67473816871643
_10_15_36_,1251.3977584829208,0.35066701773143905,2.332980620467461,11,1.1038100463288165,0.8908524512708187,306.13844776153564
_10_36_40_,1320.9552007268965,0.30591648787313636,2.4152330501225294,12,1.061389929939966,0.8296998908996582,350.94696831703186
_14_20_32_,1607.4059034083225,0.24303408048631178,2.3989653963489346,14,0.827775142466058,0.5318181583613155,336.7493953704834
