composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_3_4_5_6_7_,0.0,0.5258683056260148,1.462408306204652,4,10.195736614505591,8.0,367.35238766670227
_2_4_10_14_20_26_27_32_,0.0,0.32003512058145134,0.7956237487847081,2,11.62058339478793,8.0,394.65729331970215
_0_3_8_14_22_28_35_41_,0.0,0.0,2.330290531308403,1,8.922944083589467,8.0,363.68536019325256
_1_6_12_19_24_29_37_44_,125733.56379139009,0.4171186877287482,5.996629977584089,11,2.5332638014980886,1.9144000236511225,347.54371452331543
_2_4_9_13_21_27_32_40_,0.0,0.0,2.844064476451123,1,7.405513745102023,8.0,912.954537153244
_5_7_11_17_23_30_34_42_,0.0,0.0,2.8278132568822394,1,8.149814642049071,8.0,884.7877645492554
_10_15_20_25_31_33_38_43_,65671.38308706554,0.0,5.465182326676777,1,4.228459313970515,4.540399907684326,951.018895149231
_16_18_26_36_39_45_46_41_,55543.051518601445,0.0,5.356485925500226,1,4.527072159867293,4.828800160980225,1026.9483160972595
_0_4_9_14_20_26_32_38_,0.0,0.7542070727795362,1.6415023272181763,2,9.795887042683407,8.0,956.2908952236176
_1_7_11_17_22_28_35_44_,65357.594844114945,1.3467079710389953,5.3725952212153905,3,4.032284975566201,3.9505000370025636,885.4431121349335
