composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_3_4_,19681.64263890023,0.08761138532258064,4.1974212858101065,63,1.0772945569698855,1.0270821944952004,296.2548987865448
_0_2_13_24_25_,19796.08091138295,0.07827635333333333,4.183503715771801,70,1.0880308911837122,1.0,299.6545443534851
_10_13_16_30_38_,18319.65954953871,0.11124064020833331,4.147193820420455,49,1.1187815807610035,1.1655996337831027,291.2320830821991
_0_7_18_29_43_,18207.325005435247,0.08144407625000001,4.147994403767499,49,1.1067935990941902,2.0,270.10265707969666
_1_3_4_6_11_,22762.31298144308,0.08205753678571427,4.297202379970118,57,0.9374293337356828,1.0,286.8984878063202
_2_10_11_25_31_,21917.494230706892,0.10875327981818182,4.221912179656487,56,0.8997757643185602,1.0,284.3705801963806
_0_5_7_13_28_,20059.981563660425,0.06519447972602742,4.198427200388374,74,0.9797550673586094,1.0,297.51257514953613
_1_5_13_22_39_,22594.292419911268,0.0765956831818182,4.307085960241276,67,1.1047291762411962,1.0,322.5331437587738
_3_6_9_17_27_,21537.172538516726,0.07480977363636364,4.2036850983293,67,0.923140166587119,1.0,273.40534806251526
_14_20_32_39_46_,19354.723898148728,0.08889540407407413,4.1804191312065395,55,1.0335057701376587,2.0,307.8098874092102
