composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_3_4_5_6_7_,201973.95467441028,0.08175667844155843,6.564678986619328,78,1.3974516564457544,1.2144440888404846,358.5053038597107
_2_4_10_14_20_26_27_32_,198918.96029218746,0.10443774,6.5572850777742016,73,1.3041831368737016,0.5564669067800043,333.2076063156128
_0_3_8_14_22_28_35_41_,239106.50700377012,0.08336005506024095,6.782455393500941,84,1.2277963887672392,1.0,342.05089950561523
_1_6_12_19_24_29_37_44_,203205.25165681553,0.17564187738461537,6.572748056014401,66,1.410782144333988,1.0,333.3154835700989
_2_4_9_13_21_27_32_40_,224794.5078325867,0.12737789983333328,6.696410326692944,61,1.336709986723625,0.5505999999999993,306.7287471294403
_5_7_11_17_23_30_34_42_,230233.1126236295,0.10591745906666664,6.764819763915833,76,1.3084827279455555,1.042187953698635,422.05175828933716
_10_15_20_25_31_33_38_43_,202248.05533097548,0.1562026777966101,6.598402445423352,60,1.2780759915519173,1.3661625839471814,361.23392724990845
_16_18_26_36_39_45_46_41_,209035.21796689756,0.1007937538961039,6.652999977358279,78,1.5982437856769325,1.4926570628225804,384.7484977245331
_0_4_9_14_20_26_32_38_,188904.03738715313,0.14193586109090908,6.511746759704874,56,1.4791295831627684,1.15575674533844,359.2516269683838
_1_7_11_17_22_28_35_44_,205550.96295034417,0.08376430379746831,6.639620517103887,80,1.3406337022209478,2.0,351.57402658462524
