composition,HV,Sparsity,Expected Utility,Card,IGD,MUL,execution_time
_0_1_2_3_4_5_6_7_,0.0,0.0,2.459904837889776,1,7.675257042230437,7.0,428.77604508399963
_2_4_10_14_20_26_27_32_,87673.85499456784,0.7218758564843678,5.65960790892137,8,3.705252112287729,3.118999961853027,408.74072217941284
_0_3_8_14_22_28_35_41_,60957.96706468887,2.6501180669292808,5.2999476765250115,2,4.015894089848414,3.672999786376952,353.5646240711212
_1_6_12_19_24_29_37_44_,0.0,1.9621677006362006,2.379787039166714,2,7.837955079040311,7.0,600.4199256896973
_2_4_9_13_21_27_32_40_,0.0,1.757061310170684,1.7223852757096125,2,9.052865457311547,7.0,574.7392015457153
_5_7_11_17_23_30_34_42_,65115.24926711697,0.0,5.474927958245535,1,4.903754647872638,3.951999963760376,561.9538767337799
_10_15_20_25_31_33_38_43_,0.0,0.4747911937884055,2.0007415475714354,5,9.193093581326767,8.0,513.7799382209778
_16_18_26_36_39_45_46_41_,42159.35106904037,0.0,5.097702567450156,1,4.841455118177383,4.520600226593017,758.1765291690826
_0_4_9_14_20_26_32_38_,0.0,0.5913723152480088,-0.10628903175627304,3,13.166019835807683,8.288799982452392,873.7258021831512
_1_7_11_17_22_28_35_44_,89422.88202729143,0.4465671756901536,5.735842409725853,18,3.2452495425377865,2.892499766540527,608.2225995063782
